year,event,geoid,geolab,denom-hip,observed_benes-hip,observed-hip,predicted-hip,HRR #,HRR City,State,Resident Population (2010),"Physicians per 100,000","Orthopedic Surgeons per 100,000",geoid-knee,geolab-knee,denom-knee,observed_benes-knee,observed-knee,predicted-knee,obspred_ratio-knee
2011,HIPREP,321,ND- BISMARCK,31434,167,173,121.7345112,321,Bismarck,ND,"206,519",181.3,7.69,321,ND- BISMARCK,31434,334,343,259.0845461,1.323892162
2011,HIPREP,322,ND- FARGO MOORHEAD -MN,56017,305,309,215.6438629,322,Fargo/Moorhead MN,ND,"541,081",181.1,6.8,322,ND- FARGO MOORHEAD -MN,56017,542,558,456.6670677,1.221896737
2011,HIPREP,323,ND- GRAND FORKS,19029,89,90,73.22409509,323,Grand Forks,ND,"161,578",180.1,7.14,323,ND- GRAND FORKS,19029,213,221,155.3935823,1.422195156
2011,HIPREP,324,ND- MINOT,17532,90,91,67.52145923,324,Minot,ND,"129,208",179.7,6.45,324,ND- MINOT,17532,188,192,143.5972903,1.337072584
2011,HIPREP,325,OH- AKRON,54716,200,203,199.532116,325,Akron,OH,"704,829",215.3,6.75,325,OH- AKRON,54716,471,489,429.4370442,1.138700088
2011,HIPREP,326,OH- CANTON,54463,188,193,204.9848417,326,Canton,OH,"647,481",176.7,6.22,326,OH- CANTON,54463,473,488,439.1444559,1.111251647
2011,HIPREP,327,OH- CINCINNATI,138701,532,548,513.1167563,327,Cincinnati,OH,"1,666,947",224.8,7.21,327,OH- CINCINNATI,138701,1249,1294,1117.464345,1.15797878
2011,HIPREP,328,OH- CLEVELAND,206149,837,857,745.5676159,328,Cleveland,OH,"2,064,339",221.2,5.28,328,OH- CLEVELAND,206149,1615,1681,1617.270963,1.039405293
2011,HIPREP,329,OH- COLUMBUS,249847,913,946,942.8916037,329,Columbus,OH,"3,006,134",194.8,5.15,329,OH- COLUMBUS,249847,2230,2381,2061.366498,1.155059036
2011,HIPREP,330,OH- DAYTON,102987,404,423,383.0850165,330,Dayton,OH,"1,086,895",188,5.72,330,OH- DAYTON,102987,928,974,832.0693376,1.170575523
2011,HIPREP,331,OH- ELYRIA,27403,88,90,102.9458081,331,Elyria,OH,"254,125",218.2,8.89,331,OH- ELYRIA,27403,248,250,224.6072851,1.113053835
2011,HIPREP,332,OH- KETTERING,37274,171,172,141.1517968,332,Kettering,OH,"423,360",221.4,5.25,332,OH- KETTERING,37274,317,330,304.7394515,1.082892282
2011,HIPREP,334,OH- TOLEDO,96550,410,417,361.387802,334,Toledo,OH,"1,001,232",189.9,5.85,334,OH- TOLEDO,96550,860,900,783.5896793,1.148560304
2011,HIPREP,335,OH- YOUNGSTOWN,62454,226,231,231.8097781,335,Youngstown,OH,"641,422",193.1,6.81,335,OH- YOUNGSTOWN,62454,504,521,497.017584,1.048252651
2011,HIPREP,336,OK- LAWTON,25444,70,70,97.81606707,336,Lawton,OK,"205,236",180,6.55,336,OK- LAWTON,25444,250,266,214.8987343,1.237792307
2011,HIPREP,339,OK- OKLAHOMA CITY,218676,730,756,838.2460027,339,Oklahoma City,OK,"1,884,678",175.2,6.53,339,OK- OKLAHOMA CITY,218676,2121,2222,1835.664164,1.210461066
2011,HIPREP,340,OK- TULSA,151060,540,554,574.6198046,340,Tulsa,OK,"1,366,076",179.9,6.05,340,OK- TULSA,151060,1379,1447,1261.688172,1.146876092
2011,HIPREP,341,OR- BEND,28456,125,127,107.808857,341,Bend,OR,"222,533",216.4,8.04,341,OR- BEND,28456,300,317,239.8510615,1.321653521
2011,HIPREP,342,OR- EUGENE,75828,312,324,288.438469,342,Eugene,OR,"733,822",206.1,6.56,342,OR- EUGENE,75828,624,654,631.6896857,1.035318472
2011,HIPREP,343,OR- MEDFORD,63181,254,261,240.9260459,343,Medford,OR,"431,272",211.5,6.87,343,OR- MEDFORD,63181,516,538,527.3897002,1.020118519
2011,HIPREP,344,OR- PORTLAND,176460,733,745,662.0281243,344,Portland,OR,"2,686,481",235.9,6.76,344,OR- PORTLAND,176460,1334,1387,1451.488005,0.955571107
2011,HIPREP,345,OR- SALEM,18454,57,61,68.97247666,345,Salem,OR,"322,564",194.7,7.92,345,OR- SALEM,18454,136,143,150.5594186,0.949791128
2011,HIPREP,346,PA- ALLENTOWN,147961,528,536,565.5845897,346,Allentown,PA,"1,244,152",199.9,6.31,346,PA- ALLENTOWN,147961,1189,1225,1207.955617,1.014110107
2011,HIPREP,347,PA- ALTOONA,28299,96,98,108.4798169,347,Altoona,PA,"302,439",193.4,7.14,347,PA- ALTOONA,28299,190,199,230.9141441,0.861792164
2011,HIPREP,350,PA- DANVILLE,56630,230,238,217.9258184,350,Danville,PA,"577,444",185.1,7.07,350,PA- DANVILLE,56630,486,506,465.9051761,1.086057906
2011,HIPREP,351,PA- ERIE,78577,320,328,301.3595038,351,Erie,PA,"725,356",175.1,7.02,351,PA- ERIE,78577,621,643,641.2929243,1.002661928
2011,HIPREP,352,PA- HARRISBURG,106859,414,423,409.3250473,352,Harrisburg,PA,"1,040,217",201.8,7.12,352,PA- HARRISBURG,106859,970,1012,875.5544713,1.155838995
2011,HIPREP,354,PA- JOHNSTOWN,15742,48,48,59.25720156,354,Johnstown,PA,"224,738",179.1,4.84,354,PA- JOHNSTOWN,15742,95,99,125.103801,0.791342862
2011,HIPREP,355,PA- LANCASTER,71215,287,295,269.7342982,355,Lancaster,PA,"666,898",192.2,6.26,355,PA- LANCASTER,71215,551,569,571.9625544,0.99482037
2011,HIPREP,356,PA- PHILADELPHIA,380533,1394,1425,1357.328294,356,Philadelphia,PA,"4,173,352",262.5,6.2,356,PA- PHILADELPHIA,380533,2418,2486,2956.749205,0.840788253
2011,HIPREP,357,PA- PITTSBURGH,212102,759,776,784.1302229,357,Pittsburgh,PA,"2,903,566",206.3,5.64,357,PA- PITTSBURGH,212102,1518,1573,1650.528618,0.953028007
2011,HIPREP,358,PA- READING,63523,215,221,243.5680887,358,Reading,PA,"597,521",195.5,7.31,358,PA- READING,63523,524,539,517.1890513,1.042172101
2011,HIPREP,359,PA- SAYRE,25669,106,109,98.798577,359,Sayre,PA,"196,042",175.7,3.69,359,PA- SAYRE,25669,183,195,213.0366568,0.915335431
2011,HIPREP,360,PA- SCRANTON,45796,150,151,176.610795,360,Scranton,PA,"320,518",185.1,5.6,360,PA- SCRANTON,45796,359,364,378.7961983,0.960938894
2011,HIPREP,362,PA- WILKES-BARRE,34392,112,114,132.9940881,362,Wilkes-Barre,PA,"255,140",188.4,5.3,362,PA- WILKES-BARRE,34392,247,253,280.430187,0.902185327
2011,HIPREP,363,PA- YORK,48037,140,144,183.8566413,363,York,PA,"435,834",190.4,5.95,363,PA- YORK,48037,376,388,392.4758979,0.988595738
2011,HIPREP,364,RI- PROVIDENCE,112927,397,406,422.8890328,364,Providence,RI,"1,230,259",239.7,7.08,364,RI- PROVIDENCE,112927,856,891,908.2015033,0.981059816
2011,HIPREP,365,SC- CHARLESTON,135167,524,532,484.9725522,365,Charleston,SC,"1,039,012",223.4,6.46,365,SC- CHARLESTON,135167,1170,1212,1092.721479,1.109157295
2011,HIPREP,366,SC- COLUMBIA,137486,416,434,475.1810713,366,Columbia,SC,"1,245,433",191.5,6.02,366,SC- COLUMBIA,137486,1096,1140,1066.972287,1.06844387
2011,HIPREP,367,SC- FLORENCE,47694,123,125,159.8734525,367,Florence,SC,"379,491",158.5,4.79,367,SC- FLORENCE,47694,291,298,365.4391671,0.8154572
2011,HIPREP,368,SC- GREENVILLE,103892,351,358,388.8931273,368,Greenville,SC,"904,754",200,8.2,368,SC- GREENVILLE,103892,897,919,856.5958393,1.072851347
2011,HIPREP,369,SC- SPARTANBURG,42391,162,164,157.1920687,369,Spartanburg,SC,"375,426",180.5,6.35,369,SC- SPARTANBURG,42391,360,365,346.1317409,1.054511785
2011,HIPREP,370,SD- RAPID CITY,28464,140,146,109.5460471,370,Rapid City,SD,"218,633",186.8,5.72,370,SD- RAPID CITY,28464,266,274,237.5349556,1.153514435
2011,HIPREP,371,SD- SIOUX FALLS,109878,593,616,423.4770279,371,Sioux Falls,SD,"770,581",182.5,6.47,371,SD- SIOUX FALLS,109878,1223,1264,898.4321127,1.406895393
2011,HIPREP,373,TN- CHATTANOOGA,80000,300,308,303.8256433,373,Chattanooga,TN,"699,600",177.6,6.06,373,TN- CHATTANOOGA,80000,632,649,668.6132917,0.970665717
2011,HIPREP,374,TN- JACKSON,49787,142,145,185.4770722,374,Jackson,TN,"334,537",163.1,5.08,374,TN- JACKSON,49787,308,310,408.7218604,0.758462001
2011,HIPREP,375,TN- JOHNSON CITY,30488,101,102,117.0062308,375,Johnson City,TN,"278,935",206.3,6.04,375,TN- JOHNSON CITY,30488,190,199,255.6703864,0.778345912
2011,HIPREP,376,TN- KINGSPORT,52297,129,132,203.6527679,376,Kingsport,TN,"476,243",203.6,7.49,376,TN- KINGSPORT,52297,299,313,447.5630685,0.699342779
2011,HIPREP,377,TN- KNOXVILLE,148015,483,494,565.7363624,377,Knoxville,TN,"1,369,132",183.2,6.1,377,TN- KNOXVILLE,148015,1177,1209,1239.8112,0.975148474
2011,HIPREP,379,TN- MEMPHIS,187767,490,496,649.5582008,379,Memphis,TN,"1,814,698",171.3,5.69,379,TN- MEMPHIS,187767,1121,1156,1459.757198,0.791912519
2011,HIPREP,380,TN- NASHVILLE,273394,888,908,1033.390546,380,Nashville,TN,"2,783,104",188.8,6.66,380,TN- NASHVILLE,273394,2218,2296,2279.28649,1.007332781
2011,HIPREP,382,TX- ABILENE,44136,123,126,171.2327132,382,Abilene,TX,"295,464",161.1,5.99,382,TX- ABILENE,44136,365,379,372.455404,1.017571489
2011,HIPREP,383,TX- AMARILLO,53013,192,197,206.2316887,383,Amarillo,TX,"444,842",151.2,5.07,383,TX- AMARILLO,53013,559,595,447.3959067,1.329918292
2011,HIPREP,385,TX- AUSTIN,139342,445,458,522.6947459,385,Austin,TX,"1,736,429",206.4,6.84,385,TX- AUSTIN,139342,1170,1219,1157.190493,1.053413425
2011,HIPREP,386,TX- BEAUMONT,51067,141,142,186.3311092,386,Beaumont,TX,"464,158",165.2,4.8,386,TX- BEAUMONT,51067,455,473,410.2423041,1.152977144
2011,HIPREP,388,TX- BRYAN,24115,66,68,88.99813621,388,Bryan,TX,"275,362",166.8,4.7,388,TX- BRYAN,24115,180,183,196.5102781,0.931249
2011,HIPREP,390,TX- CORPUS CHRISTI,46584,111,116,178.8863594,390,Corpus Christi,TX,"563,897",156.1,5.12,390,TX- CORPUS CHRISTI,46584,372,386,389.6615762,0.990603189
2011,HIPREP,391,TX- DALLAS,389779,1228,1252,1442.110613,391,Dallas,TX,"4,819,340",190.8,5.98,391,TX- DALLAS,389779,3076,3196,3199.945498,0.998767011
2011,HIPREP,393,TX- EL PASO,89728,239,248,348.1090905,393,El Paso,TX,"1,113,021",146.9,5.5,393,TX- EL PASO,89728,525,541,757.0058478,0.714657623
2011,HIPREP,394,TX- FORT WORTH,163419,509,527,612.2315212,394,Fort Worth,TX,"2,187,569",164.8,5.81,394,TX- FORT WORTH,163419,1439,1510,1354.868726,1.114499118
2011,HIPREP,396,TX- HARLINGEN,47376,68,69,185.7839911,396,Harlingen,TX,"586,996",113.8,2.32,396,TX- HARLINGEN,47376,359,419,402.2816551,1.041558805
2011,HIPREP,397,TX- HOUSTON,463273,1230,1263,1689.631366,397,Houston,TX,"6,463,755",178.7,5.12,397,TX- HOUSTON,463273,3372,3518,3758.922677,0.935906456
2011,HIPREP,399,TX- LONGVIEW,25701,86,93,95.58916204,399,Longview,TX,"210,478",158.3,6.04,399,TX- LONGVIEW,25701,220,226,210.9358181,1.07141595
2011,HIPREP,400,TX- LUBBOCK,77892,270,275,302.1378146,400,Lubbock,TX,"706,866",160.6,5.41,400,TX- LUBBOCK,77892,893,925,657.8572828,1.406080048
2011,HIPREP,402,TX- MCALLEN,49814,76,77,195.1134388,402,McAllen,TX,"677,095",117.4,2.9,402,TX- MCALLEN,49814,426,476,426.3032357,1.11657609
2011,HIPREP,406,TX- ODESSA,36474,72,72,140.817725,406,Odessa,TX,"350,538",139.8,5.4,406,TX- ODESSA,36474,297,315,306.7833815,1.026783128
2011,HIPREP,411,TX- SAN ANGELO,23000,62,63,89.24662715,411,San Angelo,TX,"159,583",171.1,5.24,411,TX- SAN ANGELO,23000,204,210,193.7865563,1.083666504
2011,HIPREP,412,TX- SAN ANTONIO,237097,501,508,900.8453482,412,San Antonio,TX,"2,720,324",193.2,5.73,412,TX- SAN ANTONIO,237097,1767,1826,1974.952732,0.92457909
2011,HIPREP,413,TX- TEMPLE,35940,109,113,131.9878752,413,Temple,TX,"495,262",225.3,6.48,413,TX- TEMPLE,35940,294,302,296.6521139,1.018027467
2011,HIPREP,416,TX- TYLER,80257,246,249,301.2183761,416,Tyler,TX,"567,755",175.1,5.16,416,TX- TYLER,80257,697,725,663.668311,1.092413165
2011,HIPREP,417,TX- VICTORIA,21489,62,62,81.98188831,417,Victoria,TX,"145,278",178.2,4.91,417,TX- VICTORIA,21489,220,234,178.276147,1.312570436
2011,HIPREP,418,TX- WACO,39709,80,80,146.9289518,418,Waco,TX,"347,363",173.3,5.79,418,TX- WACO,39709,280,291,321.7152164,0.904526691
2011,HIPREP,420,TX- WICHITA FALLS,29239,95,99,113.1075699,420,Wichita Falls,TX,"203,459",180.4,5.74,420,TX- WICHITA FALLS,29239,298,309,246.4446849,1.253831058
2011,HIPREP,421,UT- OGDEN,30879,152,156,118.9728521,421,Ogden,UT,"488,069",166.8,7.64,421,UT- OGDEN,30879,355,386,258.685137,1.492161492
2011,HIPREP,422,UT- PROVO,26373,139,142,101.8213539,422,Provo,UT,"599,188",162.6,5.6,422,UT- PROVO,26373,329,345,221.2065728,1.559628159
2011,HIPREP,423,UT- SALT LAKE CITY,141420,707,729,540.9827206,423,Salt Lake City,UT,"2,031,488",229.2,9.14,423,UT- SALT LAKE CITY,141420,1646,1753,1176.773607,1.489666312
2011,HIPREP,424,VT- BURLINGTON,83622,348,352,323.481316,424,Burlington,VT,"639,192",232.6,8.13,424,VT- BURLINGTON,83622,633,656,700.4002425,0.936607328
2011,HIPREP,426,VA- ARLINGTON,184093,666,684,681.2472252,426,Arlington,VA,"2,303,199",221.1,7.37,426,VA- ARLINGTON,184093,1474,1541,1511.429122,1.019564846
2011,HIPREP,427,VA- CHARLOTTESVILLE,77211,289,295,290.6910423,427,Charlottesville,VA,"573,338",208.9,6.08,427,VA- CHARLOTTESVILLE,77211,629,652,635.6312432,1.02575197
2011,HIPREP,428,VA- LYNCHBURG,38085,149,152,139.9473025,428,Lynchburg,VA,"257,092",195.9,5.29,428,VA- LYNCHBURG,38085,284,295,308.0136881,0.957749644
2011,HIPREP,429,VA- NEWPORT NEWS,69717,306,312,246.7331584,429,Newport News,VA,"564,927",230.8,7.33,429,VA- NEWPORT NEWS,69717,619,638,551.1411701,1.157598152
2011,HIPREP,430,VA- NORFOLK,134577,466,476,470.4126331,430,Norfolk,VA,"1,295,886",223.3,6.34,430,VA- NORFOLK,134577,1116,1156,1047.92495,1.103132433
2011,HIPREP,431,VA- RICHMOND,191206,704,726,670.1789703,431,Richmond,VA,"1,730,860",207.3,6.84,431,VA- RICHMOND,191206,1593,1645,1490.283973,1.103816474
2011,HIPREP,432,VA- ROANOKE,97678,354,363,371.4599985,432,Roanoke,VA,"714,790",199.3,5.5,432,VA- ROANOKE,97678,805,836,810.4396552,1.031538862
2011,HIPREP,435,VA- WINCHESTER,55078,180,184,210.4076367,435,Winchester,VA,"433,780",192.8,5.84,435,VA- WINCHESTER,55078,409,417,464.3558601,0.898018171
2011,HIPREP,437,WA- EVERETT,56369,288,291,214.9328593,437,Everett,WA,"674,299",209.7,7.46,437,WA- EVERETT,56369,458,481,472.0719901,1.018912391
2011,HIPREP,438,WA- OLYMPIA,43002,198,205,163.6333009,438,Olympia,WA,"385,417",191.3,5.95,438,WA- OLYMPIA,43002,337,343,358.7556394,0.956082532
2011,HIPREP,439,WA- SEATTLE,260009,1145,1170,980.9942464,439,Seattle,WA,"2,811,517",237.6,6.65,439,WA- SEATTLE,260009,2041,2118,2134.016261,0.99249478
2011,HIPREP,440,WA- SPOKANE,177329,902,922,680.242736,440,Spokane,WA,"1,514,062",195.5,7.87,440,WA- SPOKANE,177329,1620,1683,1472.313251,1.143099132
2011,HIPREP,441,WA- TACOMA,70586,282,292,267.4715788,441,Tacoma,WA,"802,408",230,6.63,441,WA- TACOMA,70586,579,602,585.555492,1.028083603
2011,HIPREP,442,WA- YAKIMA,30664,165,169,117.6510844,442,Yakima,WA,"297,768",187.2,8.04,442,WA- YAKIMA,30664,226,232,253.9185032,0.913678984
2011,HIPREP,443,WV- CHARLESTON,103560,291,308,400.449487,443,Charleston,WV,"842,347",198.3,5.12,443,WV- CHARLESTON,103560,785,821,877.231977,0.935898396
2011,HIPREP,444,WV- HUNTINGTON,44796,132,136,175.0597525,444,Huntington,WV,"357,937",204.5,5.77,444,WV- HUNTINGTON,44796,330,342,383.2999599,0.892251593
2011,HIPREP,445,WV- MORGANTOWN,48212,160,162,185.7588418,445,Morgantown,WV,"400,181",189.5,5.48,445,WV- MORGANTOWN,48212,323,338,404.0162815,0.836599948
2011,HIPREP,446,WI- APPLETON,23521,122,125,89.43112673,446,Appleton,WI,"320,485",180.4,8.79,446,WI- APPLETON,23521,202,207,189.0144713,1.095154242
2011,HIPREP,447,WI- GREEN BAY,51528,245,253,197.1316643,447,Green Bay,WI,"518,935",184.3,7.12,447,WI- GREEN BAY,51528,545,573,418.8298384,1.368097369
2011,HIPREP,448,WI- LA CROSSE,34788,163,165,132.8016474,448,La Crosse,WI,"359,246",207,5.9,448,WI- LA CROSSE,34788,315,332,282.8144178,1.173914692
2011,HIPREP,449,WI- MADISON,114986,508,523,437.8674669,449,Madison,WI,"1,091,626",219.3,6.6,449,WI- MADISON,114986,1041,1084,949.3585085,1.141823653
2011,HIPREP,450,WI- MARSHFIELD,41138,216,223,157.6037028,450,Marshfield,WI,"372,884",235.4,10.28,450,WI- MARSHFIELD,41138,419,443,339.6218723,1.304391843
2011,HIPREP,451,WI- MILWAUKEE,251636,1191,1224,943.3291963,451,Milwaukee,WI,"2,710,788",225.8,7.07,451,WI- MILWAUKEE,251636,2239,2323,2030.069691,1.144295691
2011,HIPREP,452,WI- NEENAH,18793,88,89,72.06818965,452,Neenah,WI,"243,361",199.5,6.21,452,WI- NEENAH,18793,189,193,152.9715828,1.261672243
2011,HIPREP,456,WI- WAUSAU,23051,108,109,88.50694332,456,Wausau,WI,"196,844",204,8.19,456,WI- WAUSAU,23051,199,211,190.1932858,1.109397733
2011,HIPREP,457,WY- CASPER,27525,129,138,106.5941561,457,Casper,WY,"195,567",217.3,9.97,457,WY- CASPER,27525,230,241,232.0230757,1.038689791
2011,HIPREP,999,National,29905849,108643,111374,111374.0007,999,United States,US,"308,745,538",207.1,6.28,999,National,29905849,233285,243069,243069,1